v acc
4014.53,-0.23
4014.30,-0.09
4014.21,-0.09
4014.12,-0.09
4014.03,-0.09
4013.94,-0.08
4013.86,-0.08
4013.78,-0.11
4013.67,-0.10
4013.57,-0.09
4013.48,-0.09
4013.39,-0.09
4013.30,-0.08
4013.21,-0.15
4013.07,-0.15
4012.92,-0.15
4012.77,-0.16
4012.61,-0.18
4012.43,-0.20
4012.23,-0.78
4011.46,-0.40
4011.05,0.00
4011.05,0.00
4011.06,0.00
4011.06,0.01
4011.07,0.01
4011.07,0.01
4011.08,0.01
4011.09,0.01
4011.10,0.01
4011.12,0.01
4011.13,0.03
4011.16,0.03
4011.19,0.02
4011.21,0.02
4011.23,0.04
4011.27,0.02
4011.29,0.01
4011.30,0.00
4011.31,0.00
4011.31,0.00
4011.31,0.00
4011.31,0.00
4011.31,0.00
4011.32,0.00
4011.32,0.00
4011.32,0.00
4011.32,0.00
4011.32,0.00
4011.32,0.00
4011.33,0.00
4011.33,0.00
4011.33,0.00
4011.34,0.00
4011.34,-0.00
4011.34,-0.01
4011.33,-0.01
4011.32,-0.01
4011.31,-0.01
4011.31,-0.01
4011.30,-0.00
4011.29,-0.00
4011.29,-0.00
4011.29,0.00
4011.29,0.00
4011.30,-0.00
4011.30,-0.01
4011.29,-0.02
4011.27,-0.04
4011.23,-0.16
4011.07,-0.17
4010.90,-0.07
4010.83,-0.09
4010.74,-0.09
4010.65,-0.09
4010.56,-0.09
4010.47,-0.16
4010.31,-0.15
4010.15,-0.14
4010.01,-0.14
4009.87,-0.13
4009.74,-0.25
4009.49,-0.29
4009.19,-0.35
4008.85,-0.42
4008.43,-1.04
4007.39,-0.94
4006.46,-0.66
4005.80,-0.66
4005.14,-0.71
4004.43,-0.81
4003.62,-0.45
4003.17,-0.08
4003.09,-0.05
4003.05,-0.03
4003.02,-0.02
4003.01,-0.02
4002.98,-0.02
4002.96,-0.02
4002.93,-0.02
4002.91,-0.02
4002.89,-0.02
4002.87,-0.02
4002.84,-0.04
4002.80,-0.04
4002.76,-0.04
4002.72,-0.04
4002.68,-0.06
4002.62,-0.05
4002.57,-0.05
4002.52,-0.03
4002.49,-0.02
4002.47,0.01
4002.49,0.04
4002.53,0.07
4002.60,0.08
4002.67,0.12
4002.79,0.12
4002.92,0.12
4003.04,0.12
4003.17,0.18
4003.35,0.18
4003.53,0.18
4003.71,0.18
4003.89,0.18
4004.07,0.18
4004.25,0.18
4004.43,0.18
4004.61,0.18
4004.78,0.17
4004.96,0.28
4005.23,0.27
4005.50,0.26
4005.77,0.26
4006.03,0.25
4006.27,0.42
4006.70,0.40
4007.09,0.04
4007.14,0.05
4007.19,0.06
4007.24,0.06
4007.30,0.06
4007.37,0.19
4007.56,0.19
4007.75,0.20
4007.95,0.20
4008.14,0.20
4008.34,0.33
4008.67,0.33
4009.00,0.33
4009.33,0.33
4009.65,0.32
4009.97,0.47
4010.44,0.46
4010.90,0.43
4011.34,0.39
4011.73,0.53
4012.26,0.41
4012.67,0.29
4012.97,0.06
4013.02,0.06
4013.08,0.06
4013.14,0.06
4013.19,0.06
4013.25,0.13
4013.39,0.15
4013.54,0.16
4013.70,0.16
4013.86,0.16
4014.02,0.20
4014.21,0.16
4014.37,0.11
4014.48,0.04
4014.52,-0.05
4014.47,-0.52
4013.95,-0.27
4013.68,-0.31
4013.37,-0.32
4013.05,-0.30
4012.75,-0.27
4012.48,-0.39
4012.09,-0.37
4011.72,-0.37
4011.35,-0.39
4010.96,-0.43
4010.53,-0.98
4009.55,-1.27
4008.28,-1.54
4006.74,-1.30
4005.44,-1.06
4004.37,-1.04
4003.33,-1.14
4002.19,-1.19
4001.00,-1.30
3999.70,-0.81
3998.88,-0.17
3998.72,-0.07
3998.65,-0.01
3998.64,-0.00
3998.63,-0.01
3998.62,-0.02
3998.61,-0.02
3998.59,-0.02
3998.57,-0.02
3998.55,-0.03
3998.52,-0.04
3998.48,-0.04
3998.45,-0.01
3998.44,0.00
3998.44,0.00
3998.44,0.00
3998.44,0.00
3998.44,0.00
3998.44,0.00
3998.44,0.00
3998.44,0.01
3998.45,0.01
3998.46,0.01
3998.47,0.01
3998.49,0.02
3998.50,0.03
3998.53,0.03
3998.56,0.04
3998.60,0.04
3998.64,0.04
3998.68,0.12
3998.80,0.14
3998.95,0.15
